serial,wage,nonlaborinc,hoursworked
1126,44.23077,21565,2080
1129,31.25,160384,1600
1130,70.3125,40020,640
1132,12.339744,21403,3120
1133,19.23077,59168,780
1134,25.39913,46004,2756
1135,18.808655,22796,2080
1136,17.788462,3129,2080
1138,18.53125,27242,2080
1139,12.019231,8400,2080
1140,13.461538,0,2080
1141,25.48077,27740,2080
1151,16.239317,77000,2340
1158,29.761906,49002,2184
1162,46.474358,41500,1872
1166,36.713287,62560,2860
1168,76.92308,40013,2600
1170,15.384615,3,2080
1177,11.538462,6000,1300
1178,5.8653846,45529,1040
1209,24.428274,93239,1924
1214,15.384615,99081,2080
1226,27.884615,37324,2080
1234,27.403847,41500,2080
1237,26,225795,2500
1238,22.058823,81304,1360
1239,15.034965,91734,2860
1240,60.096153,169745,2080
1243,39.316238,58,2340
1244,23.076923,39715,2600
1245,3.3052886,80068,1664
1249,0,104000,2600
1254,9.4017096,0,1170
1259,46.875,14532,640
1262,15.865385,0,2080
1264,0,75163,2080
1268,36.324787,87995,2340
1270,45.889423,100638,2080
1271,0,158760,1248
1276,21.634615,29122,2080
1278,16.018749,0,2080
1283,29.761906,2,1008
1284,5.2631578,40005,1976
1292,21.634615,2424,2080
1300,28.846153,20210,2080
1304,14.957265,305,1872
1309,25.94017,115112,2340
1310,22.307692,5,2600
1312,.48076922,111737,2080
1314,0,45565,780
1320,56.923077,29,2600
1321,64.615387,58133,2600
1332,35.714287,5982,560
1344,31.952663,66760,3380
1346,16.826923,147976,2080
1347,10,44960,800
1359,28.846153,1,2080
1362,36.057693,0,2080
1363,21.153847,10814,2600
1369,7.6923075,85016,2600
1372,31.442308,3500,2080
1373,2.9166667,18912,480
1374,53.947369,70820,1520
1376,35.714287,0,1820
1377,69.71154,71026,2080
1378,38.46154,35000,1820
1405,16.239317,0,2340
1412,29.283216,31500,2288
1416,10.256411,54732,1560
1420,38.634617,33426,2600
1421,38.46154,55020,2080
1425,0,23480,780
1427,29.020979,14050,2860
1429,16.961058,1,2080
1432,21.923077,100,2600
1433,0,39614,3640
1434,35.648148,65100,2160
1436,21.794872,57007,2340
1438,19.711538,35,2080
1443,17.482517,26,2860
1445,0,6003,2340
1447,10,32520,800
1449,12.077294,99500,828
1450,5,13096,300
1451,19.23077,272896,2080
1456,55.76923,23380,2080
1457,17.628204,0,3120
1458,50.607288,24509,988
1466,27.678572,2526,1120
1470,14.444445,142139,1800
1472,31.25,324,2080
1475,16.538462,0,2600
1483,38.986015,42002,2860
1485,12.019231,3002,2080
1489,33.653847,13724,2080
1490,14.423077,3,3120
1491,14.663462,46645,2080
1497,15.384615,9050,2080
1499,39.473682,500,1976
1504,18.131868,68000,1820
1505,34.188034,18845,2340
1506,57.692307,129616,1560
1508,33.760685,76919,2340
1510,67.307693,31375,2080
1516,16.568047,31050,3380
1522,0,158108,2860
1523,12.362638,16893,1456
1526,31.196581,119199,2340
1527,28.846153,865,2080
1528,75.555557,70006,2250
1534,24.038462,6370,2080
1537,32.692307,5353,2600
1540,23.461538,42732,2600
1549,57.692307,21684,2080
1550,48.076923,51685,2080
1552,32.692307,14203,2600
1554,13.076923,68251,2600
1556,17.948717,60040,1560
1560,13.221154,182144,2080
1562,37.5,2100,2080
1566,41.185898,29424,3120
1568,0,60002,1560
1569,34.39349,17400,2704
1573,20.192308,100004,2080
1574,22.222221,29,2340
1575,65.384613,117978,2600
1583,16.55983,17768,1872
1589,31.75313,33,2236
1591,65.384613,200897,2600
1592,0,48160,1300
1594,20.979021,54278,2860
1595,38.46154,1,2600
1597,12.204142,14429,2704
1598,23.504274,22167,2340
1601,43.26923,16,2080
1602,24.038462,100030,2080
1603,11.307693,14005,2080
1605,41.483517,6001,1820
1608,0,155100,2600
1609,48.076923,0,2080
1614,36.752136,88020,2340
1615,26.442308,2000,2080
1622,41.826923,0,2080
1625,46.153847,81502,2600
1627,25.641026,29,2340
1632,20.512821,16000,2340
1636,5,21000,300
1640,0,20081,1820
1647,0,10100,2080
1651,27.030449,48091,3120
1652,5.7692308,0,2600
1654,16.02564,87024,2496
1657,40.865383,0,2080
1659,20.32967,0,1820
1661,14.393939,204375,1320
1663,14.423077,14760,1040
1666,7.6923075,125833,780
1668,192.30769,21686,2080
1670,48.076923,18020,2080
1672,52.447552,160200,2288
1673,32.692307,20920,2080
1676,32.051281,76758,2496
1678,45.673077,154838,2080
1679,21.153847,80493,2080
1683,29.380342,54016,1872
1684,12.5,13986,80
1685,10.714286,15740,840
1686,23.668638,120625,3380
1688,30.76923,179241,2600
1689,7.5,33005,48
1692,41.266026,39698,2496
1693,38.46154,0,2860
1695,53.365383,1988,2080
1697,67.307693,242081,2080
1698,10.576923,81293,2080
1699,0,136051,2080
